"mnth","hr","holiday","weekday","weathersit","temp","atemp","humidity","windspeed","total"
"Jan","2 PM","No","Monday","Good",39.596,31.99712,30,19.0012,77
"Jan","3 PM","No","Monday","Good",39.596,31.99712,30,16.9979,72
"Jan","4 PM","No","Monday","Good",39.596,31.99712,30,16.9979,76
"Jan","5 PM","No","Monday","Good",37.904,30.20324,30,15.0013,157
"Jan","6 PM","No","Monday","Good",37.904,33.80288,32,7.0015,157
"Jan","7 PM","No","Monday","Good",34.52,33.80288,47,0,110
"Jan","8 PM","No","Monday","Good",34.52,30.20324,47,7.0015,52
"Jan","9 PM","No","Monday","Good",32.828,26.6036,64,8.9981,52
"Jan","10 PM","No","Monday","Good",29.444,21.1982,69,8.9981,20
"Jan","11 PM","No","Monday","Good",32.828,28.39748,55,7.0015,12
"Jan","1 AM","No","Tuesday","Good",31.136,24.79784,59,7.0015,2
"Jan","2 AM","No","Tuesday","Good",29.444,21.1982,63,8.9981,1
"Jan","4 AM","No","Tuesday","Good",29.444,24.79784,63,6.0032,2
"Jan","5 AM","No","Tuesday","Good",27.752,21.1982,68,7.0015,4
"Jan","6 AM","No","Tuesday","Good",27.752,21.1982,74,7.0015,36
"Jan","7 AM","No","Tuesday","Good",27.752,21.1982,74,8.9981,94
"Jan","8 AM","No","Tuesday","Good",29.444,21.1982,69,11.0014,179
"Jan","9 AM","No","Tuesday","Good",31.136,21.1982,64,15.0013,100
"Jan","10 AM","No","Tuesday","Fair",31.136,19.40432,69,22.0028,42
"Jan","11 AM","No","Tuesday","Good",36.212,28.39748,51,19.9995,57
"Jan","12 PM","No","Tuesday","Good",36.212,30.20324,51,11.0014,78
"Jan","2 PM","No","Tuesday","Good",39.596,33.80288,52,15.0013,63
"Jan","3 PM","No","Tuesday","Good",41.288,35.59676,52,16.9979,65
"Jan","5 PM","No","Tuesday","Good",41.288,35.59676,48,15.0013,212
"Jan","6 PM","No","Tuesday","Good",39.596,33.80288,48,12.998,182
"Jan","7 PM","No","Tuesday","Good",37.904,33.80288,48,7.0015,112
"Jan","8 PM","No","Tuesday","Good",37.904,33.80288,48,7.0015,54
"Jan","9 PM","No","Tuesday","Good",36.212,35.59676,64,0,48
"Jan","10 PM","No","Tuesday","Good",36.212,33.80288,64,6.0032,35
"Jan","11 PM","No","Tuesday","Good",34.52,30.20324,69,6.0032,11
"Jan","12 AM","No","Wednesday","Good",34.52,33.80288,64,0,6
"Jan","1 AM","No","Wednesday","Good",31.136,26.6036,74,6.0032,6
"Jan","2 AM","No","Wednesday","Good",31.136,26.6036,74,6.0032,2
"Jan","4 AM","No","Wednesday","Good",37.904,30.20324,48,15.0013,2
"Jan","5 AM","No","Wednesday","Good",36.212,30.20324,47,11.0014,3
"Jan","6 AM","No","Wednesday","Good",34.52,26.6036,47,15.0013,33
"Jan","7 AM","No","Wednesday","Good",32.828,24.79784,43,12.998,88
"Jan","9 AM","No","Wednesday","Good",36.212,26.6036,37,22.0028,115
"Jan","11 AM","No","Wednesday","Good",39.596,30.20324,33,22.0028,46
"Jan","12 PM","No","Wednesday","Good",39.596,30.20324,33,22.0028,79
"Jan","1 PM","No","Wednesday","Good",41.288,33.80288,30,19.9995,71
"Jan","2 PM","No","Wednesday","Good",42.98,37.40252,28,12.998,62
"Jan","3 PM","No","Wednesday","Good",42.98,37.40252,28,12.998,62
"Jan","4 PM","No","Wednesday","Good",42.98,41.00216,28,6.0032,89
"Jan","5 PM","No","Wednesday","Good",37.904,30.20324,38,12.998,190
"Jan","6 PM","No","Wednesday","Good",37.904,31.99712,38,8.9981,169
"Jan","8 PM","No","Wednesday","Good",36.212,30.20324,47,11.0014,89
"Jan","9 PM","No","Wednesday","Good",34.52,26.6036,51,12.998,43
"Jan","10 PM","No","Wednesday","Good",32.828,26.6036,55,8.9981,42
"Jan","11 PM","No","Wednesday","Good",34.52,33.80288,47,0,19
"Jan","12 AM","No","Thursday","Good",32.828,31.99712,55,0,11
"Jan","1 AM","No","Thursday","Good",31.136,30.20324,64,0,4
"Jan","5 AM","No","Thursday","Fair",29.444,24.79784,69,6.0032,4
"Jan","8 AM","No","Thursday","Good",31.136,30.20324,59,0,219
"Jan","9 AM","No","Thursday","Fair",32.828,31.99712,51,0,122
"Jan","10 AM","No","Thursday","Good",34.52,33.80288,47,0,45
"Jan","1 PM","No","Thursday","Good",39.596,35.59676,35,7.0015,67
"Jan","2 PM","No","Thursday","Good",41.288,35.59676,36,11.0014,70
"Jan","4 PM","No","Thursday","Good",39.596,33.80288,38,11.0014,86
"Jan","5 PM","No","Thursday","Good",36.212,30.20324,51,11.0014,172
"Jan","6 PM","No","Thursday","Good",36.212,30.20324,51,8.9981,163
"Jan","7 PM","No","Thursday","Good",36.212,33.80288,55,6.0032,112
"Jan","10 PM","No","Thursday","Fair",36.212,28.39748,51,19.0012,52
"Jan","11 PM","No","Thursday","Fair",34.52,26.6036,59,12.998,23
"Jan","12 AM","No","Friday","Fair",34.52,26.6036,64,12.998,17
"Jan","2 AM","No","Friday","Fair",34.52,26.6036,69,15.0013,1
"Jan","4 AM","No","Friday","Fair",34.52,28.39748,69,8.9981,1
"Jan","5 AM","No","Friday","Bad",36.212,35.59676,55,0,5
"Jan","6 AM","No","Friday","Fair",34.52,33.80288,69,0,34
"Jan","7 AM","No","Friday","Good",34.52,28.39748,69,8.9981,84
"Jan","8 AM","No","Friday","Good",34.52,26.6036,51,16.9979,210
"Jan","9 AM","No","Friday","Good",34.52,24.79784,47,19.9995,134
"Jan","10 AM","No","Friday","Good",36.212,26.6036,37,22.0028,63
"Jan","11 AM","No","Friday","Fair",34.52,26.6036,40,15.0013,67
"Jan","12 PM","No","Friday","Fair",34.52,26.6036,37,16.9979,59
"Jan","2 PM","No","Friday","Fair",34.52,26.6036,40,16.9979,50
"Jan","3 PM","No","Friday","Fair",34.52,28.39748,37,11.0014,72
"Jan","4 PM","No","Friday","Fair",34.52,28.39748,37,11.0014,87
"Jan","5 PM","No","Friday","Fair",34.52,33.80288,37,0,187
"Jan","6 PM","No","Friday","Good",34.52,30.20324,40,6.0032,123
"Jan","7 PM","No","Friday","Good",31.136,26.6036,55,6.0032,95
"Jan","8 PM","No","Friday","Good",32.828,28.39748,47,7.0015,51
"Jan","9 PM","No","Friday","Good",32.828,26.6036,47,8.9981,39
"Jan","10 PM","No","Friday","Fair",32.828,26.6036,43,11.0014,36
"Jan","12 AM","No","Saturday","Fair",32.828,26.6036,51,11.0014,25
"Jan","1 AM","No","Saturday","Fair",32.828,28.39748,55,6.0032,16
"Jan","3 AM","No","Saturday","Bad",32.828,26.6036,55,11.0014,7
"Jan","5 AM","No","Saturday","Fair",31.136,23.00396,74,11.0014,5
"Jan","6 AM","No","Saturday","Fair",31.136,23.00396,74,11.0014,2
"Jan","7 AM","No","Saturday","Fair",31.136,24.79784,74,7.0015,9
"Jan","8 AM","No","Saturday","Bad",31.136,24.79784,93,7.0015,15
"Jan","10 AM","No","Saturday","Fair",32.828,26.6036,80,11.0014,61
"Jan","11 AM","No","Saturday","Fair",34.52,24.79784,69,26.0027,62
"Jan","12 PM","No","Saturday","Fair",34.52,24.79784,59,23.9994,98
"Jan","1 PM","No","Saturday","Good",34.52,24.79784,44,22.0028,102
"Jan","2 PM","No","Saturday","Good",34.52,23.00396,32,32.9975,95
"Jan","3 PM","No","Saturday","Good",34.52,23.00396,32,30.0026,74
"Jan","4 PM","No","Saturday","Good",32.828,19.40432,29,30.0026,76
"Jan","5 PM","No","Saturday","Good",31.136,17.59856,37,36.9974,69
"Jan","6 PM","No","Saturday","Good",29.444,17.59856,39,19.9995,55
"Jan","7 PM","No","Saturday","Good",29.444,17.59856,36,16.9979,30
"Jan","8 PM","No","Saturday","Good",27.752,17.59856,36,16.9979,28
"Jan","9 PM","No","Saturday","Good",27.752,15.80468,39,23.9994,37
"Jan","10 PM","No","Saturday","Good",27.752,15.80468,36,26.0027,34
"Jan","12 AM","No","Sunday","Good",26.06,12.20504,42,26.0027,25
"Jan","1 AM","No","Sunday","Good",26.06,10.39928,42,31.0009,12
"Jan","2 AM","No","Sunday","Good",26.06,10.39928,46,31.0009,11
"Jan","3 AM","No","Sunday","Good",26.06,12.20504,46,27.9993,4
"Jan","4 AM","No","Sunday","Good",24.368,13.99892,53,12.998,1
"Jan","5 AM","No","Sunday","Good",24.368,13.99892,53,12.998,1
"Jan","6 AM","No","Sunday","Good",26.06,13.99892,49,19.0012,1
"Jan","8 AM","No","Sunday","Good",26.06,13.99892,49,19.0012,10
"Jan","9 AM","No","Sunday","Good",27.752,12.20504,46,35.0008,19
"Jan","10 AM","No","Sunday","Good",29.444,15.80468,43,26.0027,49
"Jan","1 PM","No","Sunday","Good",34.52,23.00396,34,30.0026,75
"Jan","2 PM","No","Sunday","Good",36.212,24.79784,32,31.0009,72
"Jan","5 PM","No","Sunday","Good",32.828,21.1982,37,26.0027,62
"Jan","6 PM","No","Sunday","Good",31.136,19.40432,40,22.0028,48
"Jan","8 PM","No","Sunday","Good",29.444,17.59856,46,16.9979,38
"Jan","9 PM","No","Sunday","Good",29.444,15.80468,46,27.9993,20
"Jan","10 PM","No","Sunday","Good",29.444,17.59856,46,19.9995,15
"Jan","11 PM","No","Sunday","Good",27.752,19.40432,50,12.998,6
"Jan","12 AM","No","Monday","Good",27.752,17.59856,50,19.0012,5
"Jan","1 AM","No","Monday","Good",27.752,17.59856,50,19.0012,1
"Jan","2 AM","No","Monday","Good",27.752,17.59856,50,15.0013,3
"Jan","6 AM","No","Monday","Good",27.752,17.59856,50,19.0012,31
"Jan","7 AM","No","Monday","Good",27.752,17.59856,50,15.0013,77
"Jan","8 AM","No","Monday","Fair",27.752,17.59856,50,19.0012,188
"Jan","9 AM","No","Monday","Fair",29.444,17.59856,50,16.9979,94
"Jan","10 AM","No","Monday","Fair",29.444,17.59856,50,19.9995,31
"Jan","11 AM","No","Monday","Fair",31.136,19.40432,47,19.0012,30
"Jan","12 PM","No","Monday","Fair",34.52,24.79784,40,19.0012,52
"Jan","1 PM","No","Monday","Fair",34.52,24.79784,40,19.0012,54
"Jan","3 PM","No","Monday","Fair",34.52,26.6036,40,15.0013,45
"Jan","4 PM","No","Monday","Good",34.52,28.39748,40,8.9981,74
"Jan","5 PM","No","Monday","Good",34.52,30.20324,40,7.0015,178
"Jan","6 PM","No","Monday","Good",34.52,26.6036,40,15.0013,155
"Jan","7 PM","No","Monday","Good",31.136,23.00396,47,11.0014,95
"Jan","8 PM","No","Monday","Good",31.136,23.00396,50,11.0014,74
"Jan","9 PM","No","Monday","Good",29.444,19.40432,59,12.998,38
"Jan","10 PM","No","Monday","Good",29.444,21.1982,59,11.0014,24
"Jan","11 PM","No","Monday","Good",29.444,21.1982,59,11.0014,18
"Jan","12 AM","No","Tuesday","Good",29.444,23.00396,59,7.0015,12
"Jan","2 AM","No","Tuesday","Fair",31.136,21.1982,55,12.998,3
"Jan","5 AM","No","Tuesday","Fair",31.136,24.79784,55,8.9981,6
"Jan","6 AM","No","Tuesday","Fair",31.136,24.79784,55,8.9981,27
"Jan","7 AM","No","Tuesday","Fair",31.136,30.20324,55,0,99
"Jan","8 AM","No","Tuesday","Fair",32.828,28.39748,51,6.0032,217
"Jan","9 AM","No","Tuesday","Fair",32.828,26.6036,51,11.0014,130
"Jan","10 AM","No","Tuesday","Fair",34.52,28.39748,51,11.0014,54
"Jan","11 AM","No","Tuesday","Fair",34.52,28.39748,47,8.9981,35
"Jan","12 PM","No","Tuesday","Fair",34.52,30.20324,51,7.0015,57
"Jan","1 PM","No","Tuesday","Fair",34.52,30.20324,59,6.0032,52
"Jan","3 PM","No","Tuesday","Fair",31.136,26.6036,80,6.0032,47
"Jan","4 PM","No","Tuesday","Fair",31.136,21.1982,86,15.0013,76
"Jan","5 PM","No","Tuesday","Fair",31.136,21.1982,86,15.0013,136
"Jan","7 PM","No","Tuesday","Bad",31.136,30.20324,93,0,51
"Jan","8 PM","No","Tuesday","Bad",31.136,21.1982,93,12.998,32
"Jan","9 PM","No","Tuesday","Bad",31.136,26.6036,86,6.0032,20
"Jan","10 PM","No","Tuesday","Bad",31.136,24.79784,93,7.0015,29
"Jan","11 PM","No","Tuesday","Bad",31.136,26.6036,93,6.0032,19
"Jan","2 AM","No","Wednesday","Good",29.444,21.1982,86,8.9981,1
"Jan","6 AM","No","Wednesday","Good",27.752,21.1982,93,8.9981,16
"Jan","8 AM","No","Wednesday","Good",31.136,23.00396,59,11.0014,128
"Jan","9 AM","No","Wednesday","Good",31.136,19.40432,59,22.0028,81
"Jan","11 AM","No","Wednesday","Good",34.52,24.79784,51,26.0027,35
"Jan","12 PM","No","Wednesday","Good",34.52,21.1982,47,39.0007,55
"Jan","1 PM","No","Wednesday","Good",36.212,26.6036,44,23.9994,49
"Jan","2 PM","No","Wednesday","Good",34.52,24.79784,47,22.0028,44
"Jan","3 PM","No","Wednesday","Good",34.52,23.00396,47,27.9993,49
"Jan","4 PM","No","Wednesday","Good",36.212,26.6036,44,22.0028,68
"Jan","5 PM","No","Wednesday","Good",34.52,24.79784,47,23.9994,139
"Jan","6 PM","No","Wednesday","Good",34.52,21.1982,47,35.0008,137
"Jan","7 PM","No","Wednesday","Good",32.828,21.1982,47,27.9993,83
"Jan","8 PM","No","Wednesday","Good",31.136,19.40432,50,22.0028,56
"Jan","9 PM","No","Wednesday","Good",31.136,19.40432,55,22.0028,57
"Jan","10 PM","No","Wednesday","Good",31.136,17.59856,55,30.0026,33
"Jan","11 PM","No","Wednesday","Good",29.444,15.80468,59,27.9993,20
"Jan","12 AM","No","Thursday","Good",29.444,17.59856,59,19.0012,7
"Jan","1 AM","No","Thursday","Good",29.444,17.59856,50,19.0012,2
"Jan","3 AM","No","Thursday","Good",29.444,17.59856,50,22.0028,3
"Jan","4 AM","No","Thursday","Good",29.444,17.59856,50,16.9979,4
"Jan","5 AM","No","Thursday","Good",29.444,17.59856,50,19.9995,3
"Jan","6 AM","No","Thursday","Good",27.752,21.1982,54,8.9981,28
"Jan","7 AM","No","Thursday","Good",27.752,21.1982,54,8.9981,72
"Jan","8 AM","No","Thursday","Good",29.444,19.40432,50,12.998,202
"Jan","9 AM","No","Thursday","Good",29.444,17.59856,50,22.0028,139
"Jan","11 AM","No","Thursday","Fair",34.52,23.00396,44,30.0026,37
"Jan","1 PM","No","Thursday","Good",36.212,26.6036,41,30.0026,83
"Jan","2 PM","No","Thursday","Good",36.212,26.6036,41,26.0027,42
"Jan","3 PM","No","Thursday","Good",37.904,28.39748,38,19.9995,60
"Jan","5 PM","No","Thursday","Good",34.52,24.79784,40,19.0012,162
"Jan","6 PM","No","Thursday","Good",34.52,24.79784,40,22.0028,144
"Jan","7 PM","No","Thursday","Good",31.136,21.1982,47,16.9979,99
"Jan","8 PM","No","Thursday","Good",31.136,21.1982,47,15.0013,64
"Jan","9 PM","No","Thursday","Good",29.444,17.59856,46,19.9995,40
"Jan","10 PM","No","Thursday","Good",29.444,17.59856,46,22.0028,30
"Jan","11 PM","No","Thursday","Good",27.752,19.40432,50,12.998,15
"Jan","12 AM","No","Friday","Good",27.752,19.40432,50,12.998,14
"Jan","2 AM","No","Friday","Good",26.06,17.59856,54,8.9981,1
"Jan","3 AM","No","Friday","Good",26.06,19.40432,54,7.0015,1
"Jan","5 AM","No","Friday","Good",26.06,19.40432,54,6.0032,8
"Jan","6 AM","No","Friday","Good",26.06,24.79784,54,0,17
"Jan","7 AM","No","Friday","Good",26.06,17.59856,74,11.0014,70
"Jan","8 AM","No","Friday","Good",27.752,23.00396,68,0,158
"Jan","10 AM","No","Friday","Good",32.828,24.79784,55,12.998,44
"Jan","11 AM","No","Friday","Good",32.828,23.00396,51,19.0012,53
"Jan","1 PM","No","Friday","Good",36.212,26.6036,37,26.0027,77
"Jan","3 PM","No","Friday","Good",37.904,31.99712,38,11.0014,68
"Jan","4 PM","No","Friday","Good",36.212,31.99712,41,7.0015,90
"Jan","5 PM","No","Friday","Good",36.212,30.20324,41,11.0014,159
"Jan","6 PM","No","Friday","Good",34.52,33.80288,47,0,139
"Jan","7 PM","No","Friday","Good",31.136,26.6036,59,6.0032,92
"Jan","8 PM","No","Friday","Good",32.828,31.99712,59,0,68
"Jan","9 PM","No","Friday","Good",31.136,30.20324,69,0,52
"Jan","10 PM","No","Friday","Fair",31.136,30.20324,69,0,36
"Jan","11 PM","No","Friday","Fair",32.828,31.99712,55,0,27
"Jan","12 AM","No","Saturday","Good",32.828,31.99712,55,0,28
"Jan","1 AM","No","Saturday","Fair",31.136,26.6036,59,6.0032,20
"Jan","2 AM","No","Saturday","Fair",31.136,26.6036,59,6.0032,12
"Jan","3 AM","No","Saturday","Fair",31.136,30.20324,59,0,8
"Jan","4 AM","No","Saturday","Fair",31.136,30.20324,59,0,5
"Jan","5 AM","No","Saturday","Good",31.136,30.20324,59,0,1
"Jan","6 AM","No","Saturday","Good",29.444,23.00396,63,7.0015,3
"Jan","7 AM","No","Saturday","Good",29.444,28.39748,63,0,10
"Jan","8 AM","No","Saturday","Good",29.444,21.1982,63,8.9981,23
"Jan","10 AM","No","Saturday","Good",32.828,26.6036,59,11.0014,59
"Jan","12 PM","No","Saturday","Good",37.904,30.20324,48,15.0013,89
"Jan","1 PM","No","Saturday","Good",41.288,33.80288,38,19.9995,101
"Jan","2 PM","No","Saturday","Good",42.98,37.40252,39,19.0012,118
"Jan","3 PM","No","Saturday","Fair",44.672,41.00216,36,12.998,129
"Jan","4 PM","No","Saturday","Fair",46.364,42.79604,34,12.998,128
"Jan","5 PM","No","Saturday","Fair",44.672,39.1964,36,19.0012,83
"Jan","6 PM","No","Saturday","Fair",42.98,37.40252,45,16.9979,84
"Jan","7 PM","No","Saturday","Fair",44.672,39.1964,39,16.9979,74
"Jan","9 PM","No","Saturday","Fair",44.672,39.1964,39,15.0013,57
"Jan","11 PM","No","Saturday","Good",42.98,37.40252,45,19.0012,44
"Jan","12 AM","No","Sunday","Good",39.596,39.1964,56,0,39
"Jan","1 AM","No","Sunday","Good",39.596,35.59676,56,8.9981,23
"Jan","2 AM","No","Sunday","Good",39.596,37.40252,56,6.0032,16
"Jan","4 AM","No","Sunday","Good",39.596,33.80288,56,11.0014,1
"Jan","5 AM","No","Sunday","Fair",39.596,33.80288,56,11.0014,2
"Jan","6 AM","No","Sunday","Fair",39.596,33.80288,56,11.0014,1
"Jan","7 AM","No","Sunday","Fair",37.904,28.39748,56,19.9995,3
"Jan","8 AM","No","Sunday","Good",36.212,28.39748,55,19.0012,18
"Jan","9 AM","No","Sunday","Good",36.212,28.39748,51,16.9979,32
"Jan","10 AM","No","Sunday","Good",36.212,28.39748,51,19.0012,79
"Jan","12 PM","No","Sunday","Good",37.904,28.39748,41,19.0012,104
"Jan","1 PM","No","Sunday","Good",39.596,30.20324,35,19.9995,118
"Jan","2 PM","No","Sunday","Good",41.288,35.59676,36,16.9979,91
"Jan","3 PM","No","Sunday","Good",39.596,31.99712,38,16.9979,113
"Jan","4 PM","No","Sunday","Good",37.904,30.20324,38,15.0013,99
"Jan","5 PM","No","Sunday","Good",36.212,28.39748,37,16.9979,105
"Jan","7 PM","No","Sunday","Good",32.828,26.6036,47,8.9981,61
"Jan","8 PM","No","Sunday","Good",32.828,26.6036,47,11.0014,57
"Jan","9 PM","No","Sunday","Good",32.828,26.6036,51,11.0014,28
"Jan","10 PM","No","Sunday","Fair",34.52,28.39748,49,8.9981,21
"Jan","11 PM","No","Sunday","Fair",34.52,30.20324,40,7.0015,18
"Jan","12 AM","Yes","Monday","Fair",34.52,26.6036,47,15.0013,17
"Jan","1 AM","Yes","Monday","Fair",34.52,26.6036,44,12.998,16
"Jan","2 AM","Yes","Monday","Fair",32.828,23.00396,43,16.9979,8
"Jan","3 AM","Yes","Monday","Fair",32.828,24.79784,43,12.998,2
"Jan","4 AM","Yes","Monday","Fair",32.828,26.6036,43,8.9981,3
"Jan","5 AM","Yes","Monday","Fair",32.828,26.6036,43,11.0014,1
"Jan","6 AM","Yes","Monday","Fair",32.828,24.79784,43,12.998,5
"Jan","7 AM","Yes","Monday","Fair",31.136,24.79784,50,8.9981,13
"Jan","8 AM","Yes","Monday","Fair",31.136,21.1982,47,15.0013,33
"Jan","9 AM","Yes","Monday","Fair",31.136,21.1982,47,15.0013,47
"Jan","10 AM","Yes","Monday","Fair",31.136,21.1982,50,16.9979,57
"Jan","11 AM","Yes","Monday","Fair",31.136,21.1982,55,12.998,64
"Jan","1 PM","Yes","Monday","Fair",32.828,26.6036,47,8.9981,93
"Jan","2 PM","Yes","Monday","Fair",32.828,28.39748,43,7.0015,86
"Jan","3 PM","Yes","Monday","Fair",34.52,28.39748,47,11.0014,93
"Jan","4 PM","Yes","Monday","Fair",34.52,28.39748,47,11.0014,82
"Jan","5 PM","Yes","Monday","Good",34.52,26.6036,51,12.998,71
"Jan","6 PM","Yes","Monday","Fair",32.828,23.00396,55,16.9979,92
"Jan","7 PM","Yes","Monday","Bad",32.828,24.79784,59,12.998,60
"Jan","8 PM","Yes","Monday","Bad",31.136,21.1982,80,12.998,33
"Jan","9 PM","Yes","Monday","Bad",31.136,21.1982,80,12.998,27
"Jan","10 PM","Yes","Monday","Bad",29.444,17.59856,93,16.9979,13
"Jan","11 PM","Yes","Monday","Bad",31.136,19.40432,86,19.0012,4
"Jan","12 PM","No","Tuesday","Fair",34.52,24.79784,86,22.0028,3
"Jan","1 PM","No","Tuesday","Fair",34.52,26.6036,86,15.0013,22
"Jan","2 PM","No","Tuesday","Fair",36.212,30.20324,80,11.0014,28
"Jan","3 PM","No","Tuesday","Fair",36.212,30.20324,87,11.0014,35
"Jan","4 PM","No","Tuesday","Fair",36.212,30.20324,87,12.998,61
"Jan","5 PM","No","Tuesday","Fair",36.212,30.20324,82,12.998,125
"Jan","6 PM","No","Tuesday","Fair",36.212,30.20324,80,11.0014,133
"Jan","8 PM","No","Tuesday","Fair",36.212,35.59676,87,0,83
"Jan","9 PM","No","Tuesday","Fair",36.212,31.99712,93,7.0015,41
"Jan","10 PM","No","Tuesday","Fair",36.212,33.80288,93,6.0032,33
"Jan","11 PM","No","Tuesday","Fair",36.212,35.59676,93,0,20
"Jan","12 AM","No","Wednesday","Fair",36.212,35.59676,93,0,3
"Jan","2 AM","No","Wednesday","Bad",36.212,30.20324,93,8.9981,3
"Jan","5 AM","No","Wednesday","Fair",36.212,33.80288,93,6.0032,7
"Jan","6 AM","No","Wednesday","Fair",36.212,33.80288,93,6.0032,32
"Jan","7 AM","No","Wednesday","Fair",37.904,33.80288,92,7.0015,90
"Jan","9 AM","No","Wednesday","Fair",37.904,33.80288,93,7.0015,109
"Jan","10 AM","No","Wednesday","Fair",39.596,35.59676,93,8.9981,47
"Jan","11 AM","No","Wednesday","Fair",41.288,39.1964,87,6.0032,52
"Jan","12 PM","No","Wednesday","Fair",42.98,41.00216,81,6.0032,70
"Jan","1 PM","No","Wednesday","Good",51.44,51.80108,62,19.0012,78
"Jan","2 PM","No","Wednesday","Good",51.44,51.80108,58,16.9979,75
"Jan","4 PM","No","Wednesday","Good",49.748,49.99532,58,26.0027,104
"Jan","6 PM","No","Wednesday","Good",46.364,41.00216,61,19.0012,161
"Jan","7 PM","No","Wednesday","Good",44.672,37.40252,57,27.9993,112
"Jan","8 PM","No","Wednesday","Good",44.672,39.1964,49,19.9995,76
"Jan","9 PM","No","Wednesday","Good",44.672,37.40252,49,27.9993,59
"Jan","10 PM","No","Wednesday","Good",42.98,39.1964,52,11.0014,59
"Jan","11 PM","No","Wednesday","Good",42.98,35.59676,52,31.0009,28
"Jan","1 AM","No","Thursday","Good",39.596,35.59676,56,0,5
"Jan","2 AM","No","Thursday","Good",39.596,35.59676,56,0,2
"Jan","3 AM","No","Thursday","Good",39.596,33.80288,56,11.0014,1
"Jan","4 AM","No","Thursday","Good",39.596,33.80288,56,11.0014,1
"Jan","5 AM","No","Thursday","Good",37.904,30.20324,60,15.0013,6
"Jan","6 AM","No","Thursday","Good",36.212,28.39748,60,15.0013,35
"Jan","8 AM","No","Thursday","Good",36.212,28.39748,55,19.0012,249
